date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:33:45	53106/53106	---M-Z	200	added ('OK')	text/html	etag:%22cf72-550de91bccc5a-gzip%22	http://previews.aspirity.com/danny/	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/index.html	(from )
16:33:45	245/245	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Aug%202017%2021:33:48%20GMT	http://previews.aspirity.com/robots.txt		(from )
16:33:46	748/748	---M-Z	200	added ('OK')	text/css	etag:%222ec-550c9919f13dd-gzip%22	http://previews.aspirity.com/danny/css/master.css	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/css/master.css	(from http://previews.aspirity.com/danny/)
16:33:46	11959/11959	---M-Z	200	added ('OK')	text/css	etag:%222eb7-550c99137bbc2-gzip%22	http://previews.aspirity.com/danny/assets/switcher/css/switcher.css	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/assets/switcher/css/switcher.css	(from http://previews.aspirity.com/danny/)
16:33:47	1817/1817	---M-Z	200	added ('OK')	text/css	etag:%22719-550c991377d4a-gzip%22	http://previews.aspirity.com/danny/assets/switcher/css/color1.css	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/assets/switcher/css/color1.css	(from http://previews.aspirity.com/danny/)
16:33:47	2078/2078	---M-Z	200	added ('OK')	text/css	etag:%2281e-550c991377d4a-gzip%22	http://previews.aspirity.com/danny/assets/switcher/css/color2.css	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/assets/switcher/css/color2.css	(from http://previews.aspirity.com/danny/)
16:33:50	86666/86666	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2014%20Aug%202017%2017:09:20%20GMT	https://mc.yandex.ru/metrika/watch.js	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/mc.yandex.ru/metrika/watch.js	(from http://previews.aspirity.com/danny/)
16:33:51	41035/41035	---M--	200	added ('OK')	image/jpeg	etag:%22a04b-550c991ac9ee1%22	http://previews.aspirity.com/danny/media/portfolio-images/portfolio-1.jpg	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/media/portfolio-images/portfolio-1.jpg	(from http://previews.aspirity.com/danny/)
16:33:52	20543/20543	---M--	200	added ('OK')	image/jpeg	etag:%22503f-550c991ac9ee1%22	http://previews.aspirity.com/danny/media/portfolio-images/portfolio-2.jpg	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/media/portfolio-images/portfolio-2.jpg	(from http://previews.aspirity.com/danny/)
16:33:52	91011/91011	---M--	200	added ('OK')	image/jpeg	etag:%2216383-550c991aaf937%22	http://previews.aspirity.com/danny/media/hello-section/image.jpg	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/media/hello-section/image.jpg	(from http://previews.aspirity.com/danny/)
16:33:52	26691/26691	---M--	200	added ('OK')	image/jpeg	etag:%226843-550c991acdd59%22	http://previews.aspirity.com/danny/media/portfolio-images/portfolio-3.jpg	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/media/portfolio-images/portfolio-3.jpg	(from http://previews.aspirity.com/danny/)
